question_id,question_name,question_content,option_id,option_content,option_correct,skill_ids
7,CH7,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, &amp; ref_x = var_x;
	cout &lt;&lt; (++var_x) &lt;&lt; (ref_x--);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",30,"<p>12</p>
",0,1
7,CH7,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, &amp; ref_x = var_x;
	cout &lt;&lt; (++var_x) &lt;&lt; (ref_x--);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",31,"<p>22</p>
",1,1
7,CH7,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, &amp; ref_x = var_x;
	cout &lt;&lt; (++var_x) &lt;&lt; (ref_x--);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",32,"<p>32</p>
",0,1
7,CH7,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, &amp; ref_x = var_x;
	cout &lt;&lt; (++var_x) &lt;&lt; (ref_x--);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",33,"<p>23</p>
",0,1
7,CH7,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, &amp; ref_x = var_x;
	cout &lt;&lt; (++var_x) &lt;&lt; (ref_x--);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",34,"<p>33</p>
",0,1
8,CH8,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
    int x = 2;
    int &amp;y = x;
    cout &lt;&lt; ++x &lt;&lt; --y;
    system(""pause"");
    return 0;
}</code></pre>

<p>&nbsp;</p>
",35,"<p>12</p>
",0,1
8,CH8,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
    int x = 2;
    int &amp;y = x;
    cout &lt;&lt; ++x &lt;&lt; --y;
    system(""pause"");
    return 0;
}</code></pre>

<p>&nbsp;</p>
",36,"<p>22</p>
",1,1
8,CH8,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
    int x = 2;
    int &amp;y = x;
    cout &lt;&lt; ++x &lt;&lt; --y;
    system(""pause"");
    return 0;
}</code></pre>

<p>&nbsp;</p>
",37,"<p>32</p>
",0,1
8,CH8,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
    int x = 2;
    int &amp;y = x;
    cout &lt;&lt; ++x &lt;&lt; --y;
    system(""pause"");
    return 0;
}</code></pre>

<p>&nbsp;</p>
",38,"<p>23</p>
",0,1
8,CH8,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
    int x = 2;
    int &amp;y = x;
    cout &lt;&lt; ++x &lt;&lt; --y;
    system(""pause"");
    return 0;
}</code></pre>

<p>&nbsp;</p>
",39,"<p>33</p>
",0,1
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",40,"<p>Compile Error</p>
",0,1
